Substantive,Attitudinal,Corrected Item-Total Definition,CFA Modification Index Definition
Absorption,Cog,"  Item_1=`Iâ€™m able to concentrate on my work without distractions.`,","  Item_2=`I have a hard time detaching mentally from my work.`,"
Absorption,Cog,"  Item_3=`Time passes quickly while Iâ€™m working.`,","  Item_3=`Time passes quickly while Iâ€™m working.`,"
Absorption,Aff,"  Item_5=`I enjoy thinking about work even when Iâ€™m not at work.`,","  Item_7=`I am happiest when I am immersed in a project.`,"
Absorption,Aff,"  Item_8=`I love starting my workday.`,","  Item_8=`I love starting my workday.`,"
Absorption,Beh,"  Item_10=`I have to be reminded to take breaks while Iâ€™m at work.`,","  Item_10=`I have to be reminded to take breaks while Iâ€™m at work.`,"
Absorption,Beh,"  Item_9=`I devote more time than is expected of me.`,","  Item_11=`I never miss a work deadline.`,"
Vigor,Cog,"  Item_13=`I devote my full attention to my work tasks throughout the day.`,","  Item_14=`Thinking about work saps my energy.`,"
Vigor,Cog,"  Item_16=`Iâ€™m able to maintain good levels of energy throughout the workday.`,","  Item_16=`Iâ€™m able to maintain good levels of energy throughout the workday.`,"
Vigor,Aff,"  Item_17=`I enjoy spending time completing my job tasks.`,","  Item_17=`I enjoy spending time completing my job tasks.`,"
Vigor,Aff,"  Item_18=`Most days I feel enthusiastic about starting my work day.`,","  Item_19=`I feel motivated to go beyond what is asked of me.`, [ADD ""AT WORK""]"
Vigor,Beh,"  Item_23=`I try my best to perform well at work.`,","  Item_21=`When work is slow I find ways to be productive.`,"
Vigor,Beh,"  Item_22=`I express enthusiasm for my job while at work.`,","  Item_22=`I express enthusiasm for my job while at work.`,"
Dedication,Cog,"  Item_26=`I believe this company cares about my career goals.`,","  Item_26=`I believe this company cares about my career goals.`,"
Dedication,Cog,"  Item_25=`I plan my future with this company.`,","  Item_28=`This organization challenges me to work at my full potential.`,"
Dedication,Aff,"  Item_31=`I feel proud of my accomplishments within this organization.`,","  Item_31=`I feel proud of my accomplishments within this organization.`,"
Dedication,Aff,"  Item_32=`My job makes me feel like Iâ€™m part of something meaningful.`,","  Item_32=`My job makes me feel like Iâ€™m part of something meaningful.`,"
Dedication,Beh,"  Item_33=`I make valued contributions to the organization.`,","  Item_34=`I embrace challenging situations at work.`,"
Dedication,Beh,"  Item_35=`I speak positively about this organization to others.`,","  Item_35=`I speak positively about this organization to others.`,"
